10.0   30.0   0.1
15.0   30.0   0.1
20.0   30.0   0.1
25.0   30.0   0.1
30.0   30.0   0.1
35.0   30.0   0.1
40.0   30.0   0.1
45.0   30.0   0.1
50.0   30.0   0.1
55.0   30.0   0.1
60.0   30.0   0.1
65.0   30.0   0.1
70.0   30.0   0.1
75.0   30.0   0.1
80.0   30.0   0.1
85.0   30.0   0.1
90.0   30.0   0.1
95.0   30.0   0.1
100.0  30.0   0.1
105.0  30.0   0.1
110.0  30.0   0.1
115.0  30.0   0.1
120.0  30.0   0.1
125.0  30.0   0.1
130.0  30.0   0.1
135.0  30.0   0.1
140.0  30.0   0.1
145.0  30.0   0.1
150.0  30.0   0.1
155.0  30.0   0.1
160.0  30.0   0.1
165.0  30.0   0.1
170.0  30.0   0.1
175.0  30.0   0.1
180.0  30.0   0.1
185.0  30.0   0.1
190.0  30.0   0.1
195.0  30.0   0.1
200.0  30.0   0.1
205.0  30.0   0.1
210.0  30.0   0.1
102.5   7.5   0.1
102.5  12.5   0.1
102.5  17.5   0.1
102.5  22.5   0.1
102.5  27.5   0.1
102.5  32.5   0.1
102.5  37.5   0.1
102.5  42.5   0.1
102.5  47.5   0.1
102.5  52.5   0.1
102.5  30.0   5.0
102.5  30.0  10.0
102.5  30.0  15.0
102.5  30.0  20.0
102.5  30.0  25.0
102.5  30.0  30.0
102.5  30.0  35.0
102.5  30.0  40.0
102.5  30.0  45.0
102.5  30.0  50.0
102.5  30.0  55.0
